targets	alfuzz	aflplusplus
flvmeta	1056.094	790.1689999999999
mp42aac	747.3259999999999	700.045
tiffsplit	765.153	738.708
imginfo	755.1029999999998	744.4190000000001
cflow	85.59	187.728
jq	158.996	212.47000000000003
infotocap	472.35	535.616
mujs	509.236	598.3240000000001
tcpdump	741.172	703.5020000000001
mp3gain	193.10999999999999	320.39
jhead	994.632	755.2049999999999
pdftotext	97.50800000000001	159.621
